3,500,20.95
3,750,22.25
3,1000,24.5
3,1500,27.85
3,2000,29.3
3,2500,31.95
3,3000,35.5
3,3500,37.35
3,4000,44.05
3,4244,47.8
3.5,1000,28.3
3.5,1500,33.4
3.5,2000,41.7
3.5,2515,47.35
4,500,26
4,1000,35.4
4,1250,40.5
4,1534,47.7
5,180,24.5
5,360,31
5,540,38.4
5,576,44.2
6,90,24.15
6,180,30.65
6,270,38.6
6,305,45.3
